round,model,scope,client_id,loss_total,loss_inv,loss_sigreg
0,lejepa,client,0,0.28902748227119446,0.1102001741528511,35.87566375732422
0,lejepa,client,1,0.2793583571910858,0.0903388038277626,37.894248962402344
0,lejepa,client,2,0.2726198434829712,0.08799101412296295,37.013755798339844
0,lejepa,client,3,0.2749257981777191,0.10627175867557526,33.83708190917969
0,lejepa,client,4,0.27375173568725586,0.10289657860994339,34.27393341064453
0,mae,client,0,0.19608603417873383,,
0,mae,client,1,0.208849236369133,,
0,mae,client,2,0.202590674161911,,
0,mae,client,3,0.23314166069030762,,
0,mae,client,4,0.2541711926460266,,
